link,product_name,keywords,province2,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,itemId,shopid
www.lazada.co.th/products/100-5-i1751820530.html,มูลไส้เดือนแท้ 100% ปลอดสารเคมี อินทรีย์แท้ 5 กก.,อินทรีย์,Samut Prakan,สมุทรปราการ,4.9,2437,0,,100,87.00,13,Happytools,,1751820530,400304
www.lazada.co.th/products/100-5-i1751476729.html,มูลไส้เดือนแท้ 100% ปลอดสารเคมี อินทรีย์แท้ 5 กก.,อินทรีย์,Samut Prakan,สมุทรปราการ,4.9,1349,0,,100,90.00,10,Toolsok,,1751476729,255032
www.lazada.co.th/products/6-3-3-1-i3851104119.html,ปุ๋ยอินทรีย์เคมี ผสม อะมิโนฮิวมิค และ ไตรโคเดอร์มา สูตร6-3-3 แบ่งขาย1กิโลกรัม,"อินทรีย์, ปุ๋ยอินทรีย์",Lampang,ลำปาง,4.9,231,0,,0,35.00,0,HappyPlant639,,3851104119,3016432
www.lazada.co.th/products/6-3-3-om-10-i5031664211.html,ปุ๋ยอินทรีย์เคมี สูตร 6-3-3 มี OM หรืออินทรีย์วัตถุ 10% + อะมิโนพืช ช่วยเพิ่มจำนวนเซลล์ของพืช เพิ่มการแตกราก แตกใบ  (แบ่งขาย),"อินทรีย์, ปุ๋ยอินทรีย์",Ratchaburi,ราชบุรี,4.9,270,0,,25,19.20,23,ร้านปุ๋ยดีเด่น,,5031664211,4641235
www.lazada.co.th/products/100-1-1-i616584326.html,อาหารพืชชนิดน้ำ(อินทรีย์ 100%) สูตร 1 เร่งการเจริญเติบโต บำรุงและต้น ใบ. ขนาด 1ลิตร,อินทรีย์,Bangkok,กรุงเทพฯ,4.9,64,373,,0,99.00,0,TWC_Garden Store,,616584326,440139
www.lazada.co.th/products/1-liter-white-spirit-i1310140994.html,🎉1 Liter🎉ไวท์สปิริต white spirit ตัวทำละลายอินทรีย์,อินทรีย์,Pathum Thani,ปทุมธานี,5.0,138,719,,0,150.00,0,Tiika Product,,1310140994,1653401
www.lazada.co.th/products/-i3502894977.html,ปูนขาวเปลือกหอย อินทรีย์ (ฆ่าเชื้อรา ในพืชเป็นโรค / เพิ่มแคลเซียมในดิน),อินทรีย์,Nonthaburi,นนทบุรี,4.8,28,243,,25,22.00,12,Tungthong2465,,3502894977,1752688
www.lazada.co.th/products/1kg-i5050057868.html,ขี้หมูหมัก ปุ๋ยอินทรีย์ บรรจุถุงละ 1kg,"อินทรีย์, ปุ๋ยอินทรีย์",Pathum Thani,ปทุมธานี,5.0,11,45,,0,25.00,0,NumSuda Garden,,5050057868,329539
www.lazada.co.th/products/worm-castings-pre-compost1kg-i2423614204.html,ปุ๋ยอินทรีย์ worm Castings มูลไส้เดือน🪱ร่อนละเอียดเกรดคุณภาพ (Pre-Compost)❌ไม่มีตัวอ่อน❌ไม่เหม็น❌ไม่ขึ้นรา(1Kg.),"อินทรีย์, ปุ๋ยอินทรีย์",Nonthaburi,นนทบุรี,5.0,225,0,,30,23.87,20,Eco worm,,2423614204,2260196
www.lazada.co.th/products/2-2-100-bionic-i2013570332.html,ไบโอนิค 2 สารเร่ง พด.2 ขนาด 100 กรัม จุลินทรีย์ทำปุ๋ยหมักน้ำ สารเร่งทำปุ๋ยหมัก BIONIC ปุ๋ยอินทรีย์น้ำ เกษตรอินทรีย์ จุลินทรีย์ดิน น้ำหมักชีวภาพ,"อินทรีย์, น้ำหมัก, ปุ๋ยหมัก, ปุ๋ยอินทรีย์, น้ำหมักชีวภาพ, ชีวภาพ",Nonthaburi,นนทบุรี,5.0,337,0,,75,58.00,23,MICRO-BIOTEC Thailand.,,2013570332,329921
