link,product_name,keywords,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,suggestion,itemid,shopid
https://shopee.co.th/Rakkaset(%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%95%E0%B8%A3)-%E0%B8%A2%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A2-i.162618530.25310440200?sp_atk=1b46d01c-86e5-448e-8282-77a7d9ece6b3&xptdk=1b46d01c-86e5-448e-8282-77a7d9ece6b3,Rakkaset(รักเกษตร) ย่อยสลาย,ไม่พบคำ,จังหวัดชัยนาท,4.9,,ขายแล้ว 409 ชิ้น,,900.0,810.0,-10%,,,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=25310440200&shopid=162618530,25310440200,162618530
https://shopee.co.th/%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%99%E0%B9%89%E0%B8%B3-Harmony-Plus-%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%A3%E0%B8%9A%E0%B8%88%E0%B8%9A%E0%B9%83%E0%B8%99%E0%B8%82%E0%B8%A7%E0%B8%94%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B8%A7-%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B8%B4%E0%B9%82%E0%B8%A1%E0%B8%B0-%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%82%E0%B9%89%E0%B8%AD-%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%81%E0%B8%94%E0%B8%87-%E0%B8%9A%E0%B8%B9%E0%B9%80%E0%B8%8B%E0%B8%9B-%E0%B8%AD%E0%B8%99%E0%B8%B9%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%AA-%E0%B8%A1%E0%B8%AD%E0%B8%AA-i.979001148.29154153163?sp_atk=ec80954e-e3c1-4ab8-b0a2-7bc4258c17c0&xptdk=ec80954e-e3c1-4ab8-b0a2-7bc4258c17c0,"ปุ๋ยไม้น้ำ Harmony Plus+ ""สารอาหารครบจบในขวดเดียว"" | ปุ๋ยมาริโมะ ไม้ข้อ ไม้แดง บูเซป อนูเบียส มอส",ไม่พบคำ,จังหวัดนนทบุรี,4.9,,ขายแล้ว 471 ชิ้น,,60.0,55.0,-7%,,recom,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=29154153163&shopid=979001148,29154153163,979001148
https://shopee.co.th/Bionic-%E0%B9%84%E0%B8%9A%E0%B9%82%E0%B8%AD%E0%B8%99%E0%B8%B4%E0%B8%84-(%E0%B8%9E%E0%B8%94.1)-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%A3%E0%B9%88%E0%B8%87-1-%E0%B9%80%E0%B8%A3%E0%B9%88%E0%B8%87%E0%B8%97%E0%B8%B3%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B8%AB%E0%B8%A1%E0%B8%B1%E0%B8%81-%E0%B8%88%E0%B8%B8%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%97%E0%B8%B3%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B8%AB%E0%B8%A1%E0%B8%B1%E0%B8%81-%E0%B8%A2%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B9%83%E0%B8%9A%E0%B9%84%E0%B8%A1%E0%B9%89-%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%AD%E0%B8%87-%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87-i.133246893.2661030312?sp_atk=19ea27de-7e42-4628-b3db-4a32155ca8a8&xptdk=19ea27de-7e42-4628-b3db-4a32155ca8a8,Bionic ไบโอนิค (พด.1) 100 กรัม สารเร่ง 1 เร่งทำปุ๋ยหมัก จุลินทรีย์ทำปุ๋ยหมัก ย่อยใบไม้ ปุ๋ยกลับกอง ปุ๋ยแห้ง,ปุ๋ยหมัก,จังหวัดนนทบุรี,4.9,,ขายแล้ว 9.1พัน ชิ้น,,60.0,60.0,,,official,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=2661030312&shopid=133246893,2661030312,133246893
https://shopee.co.th/%E0%B9%80%E0%B8%8C%E0%B8%AD%E0%B8%9A%E0%B8%B2-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%82%E0%B8%A7%E0%B8%94%E0%B8%AA%E0%B9%80%E0%B8%9B%E0%B8%A3%E0%B8%A2%E0%B9%8C-Plant-Food-i.84216569.2791936903?sp_atk=9f8cce13-35ed-40b3-b796-185f9b84ab1e&xptdk=9f8cce13-35ed-40b3-b796-185f9b84ab1e,เฌอบา อาหารเสริมต้นไม้ แบบขวดสเปรย์ Plant Food,ไม่พบคำ,จังหวัดกรุงเทพมหานคร,4.9,,ขายแล้ว 19.9พัน ชิ้น,,181.0,139.0,-23%,,recom,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=2791936903&shopid=84216569,2791936903,84216569
https://shopee.co.th/%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%A5%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%9E%E0%B8%B7%E0%B8%8A-ABC-%E0%B8%8A%E0%B8%B8%E0%B8%94-1-i.46060500.25334819735?sp_atk=e9062a93-9a9a-4ea5-81db-f0720f182feb&xptdk=e9062a93-9a9a-4ea5-81db-f0720f182feb,สารละลายอินทรีย์สำหรับปลูกพืช ABC ชุด 1,"สารละลาย, อินทรีย์",จังหวัดนนทบุรี,5.0,,ขายแล้ว 1 ชิ้น,,389.0,389.0,,,,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=25334819735&shopid=46060500,25334819735,46060500
https://shopee.co.th/%E0%B8%AD%E0%B8%B0%E0%B8%8B%E0%B8%B4%E0%B9%82%E0%B8%95%E0%B8%99-Acetone-(%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B8%B3%E0%B8%A5%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C)-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-i.2565067.6346398919?sp_atk=fa85fb40-8e2b-4296-ad20-1d84a17a5b66&xptdk=fa85fb40-8e2b-4296-ad20-1d84a17a5b66,อะซิโตน Acetone (สารทำละลายอินทรีย์) - ขนาด 1 ลิตร,อินทรีย์,จังหวัดกรุงเทพมหานคร,5.0,,ขายแล้ว 12 ชิ้น,,175.0,175.0,,,recom,shopee,https://shopee.co.th/find_similar_products?catid=100638&itemid=6346398919&shopid=2565067,6346398919,2565067
https://shopee.co.th/%E0%B8%AD%E0%B8%B0%E0%B8%8B%E0%B8%B4%E0%B9%82%E0%B8%95%E0%B8%99-(Acetone)-%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%97%E0%B8%B3%E0%B8%A5%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1-%E0%B8%81%E0%B8%81.-i.148716234.6989154506?sp_atk=aef470aa-e76e-4ab1-b06e-eec31fafc87d&xptdk=aef470aa-e76e-4ab1-b06e-eec31fafc87d,อะซิโตน (Acetone)  สารทำละลายอินทรีย์ ขนาด 1 กก.,อินทรีย์,จังหวัดกรุงเทพมหานคร,5.0,,ขายแล้ว 10 ชิ้น,,99.0,99.0,,,,shopee,https://shopee.co.th/find_similar_products?catid=100629&itemid=6989154506&shopid=148716234,6989154506,148716234
https://shopee.co.th/%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B9%84%E0%B8%AA%E0%B9%89%E0%B9%80%E0%B8%94%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%97%E0%B9%89-100-%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%84%E0%B8%A1%E0%B8%B5-%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B9%81%E0%B8%97%E0%B9%89-1-%E0%B8%81%E0%B8%81.-i.330327168.5960314278?sp_atk=33bc02a0-2511-49b6-bcc8-bf87c44b7c25&xptdk=33bc02a0-2511-49b6-bcc8-bf87c44b7c25,มูลไส้เดือนแท้ 100% ปลอดสารเคมี อินทรีย์แท้ 1 กก.,อินทรีย์,จังหวัดสมุทรปราการ,4.9,,ขายแล้ว 28.8พัน ชิ้น,,25.0,15.0,-40%,,,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=5960314278&shopid=330327168,5960314278,330327168
https://shopee.co.th/%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C-%E0%B8%9B%E0%B8%B8%E0%B9%8B%E0%B8%A2%E0%B8%AD%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%81%E0%B8%81%E0%B8%99%E0%B8%B4%E0%B8%84-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%A5%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%8A%E0%B9%89%E0%B8%B2-%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%84%E0%B8%A1%E0%B8%B5-%E0%B8%94%E0%B8%B5%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%83%E0%B8%88-%E0%B8%94%E0%B8%B5%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%81%E0%B8%B2%E0%B8%A2-i.45759459.6957982186?sp_atk=544186ed-ed24-43b6-b124-73d22976adfe&xptdk=544186ed-ed24-43b6-b124-73d22976adfe,ปุ๋ยอินทรีย์ ปุ๋ยออร์แกนิค สูตรละลายช้า ปลอดภัยไร้สารเคมี ดีต่อใจ ดีต่อกาย,"อินทรีย์, ปุ๋ยอินทรีย์",จังหวัดกรุงเทพมหานคร,5.0,,ขายแล้ว 3.8พัน ชิ้น,,15.0,15.0,,,,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=6957982186&shopid=45759459,6957982186,45759459
https://shopee.co.th/%F0%9F%8C%BF%F0%9F%92%A5%E0%B9%81%E0%B8%9F%E0%B8%A5%E0%B9%87%E0%B8%81-%E0%B8%AE%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%A1%E0%B8%97-%E0%B8%A5%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3100-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1%F0%9F%92%A5%F0%9F%8C%BF%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%81%E0%B8%B1%E0%B8%94%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4-i.304900229.26009087058?sp_atk=7d52c7a7-5ceb-4b82-a2bb-8a3395a30d68&xptdk=7d52c7a7-5ceb-4b82-a2bb-8a3395a30d68,🌿💥แฟล็ก ฮิวเมท ละลายน้ำ100% สูตรพรีเมี่ยม💥🌿สารอินทรีย์สกัดธรรมชาติ,"อินทรีย์, สารอินทรีย์",จังหวัดสุราษฎร์ธานี,,,ขายแล้ว 6 ชิ้น,,200.0,130.0,-35%,,,shopee,https://shopee.co.th/find_similar_products?catid=100636&itemid=26009087058&shopid=304900229,26009087058,304900229
